id,code,name,category
"coretax_000000","000000","Barang","Barang"
"coretax_010000","010000","Binatang hidup","Barang"
"coretax_010100","010100","Kud keledai, bagal dan hinnie, hidup","Barang"
"coretax_010200","010200","Binatang hidup jenis lembu","Barang"
"coretax_010300","010300","Babi hidup","Barang"
"coretax_010400","010400","Biri-biri dan kambing, hidup","Barang"
"coretax_010500","010500","Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angs kalkun dan ayam guinea","Barang"
"coretax_010600","010600","Binatang hidup lainnya","Barang"
"coretax_020000","020000","Daging dan sisa daging yang dapat dimakan","Barang"
"coretax_020100","020100","Daging binatang jenis lembu, segar atau dingin","Barang"
"coretax_020200","020200","Daging binatang jenis lembu, beku","Barang"
"coretax_020300","020300","Daging babi, segar, dingin atau beku","Barang"
"coretax_020400","020400","Daging bid-bid atau kamblng, segar, dingin atau beku","Barang"
"coretax_020500","020500","Daging kud keledai, bagal atau hinnie, segar, dingin atau beku","Barang"
"coretax_020600","020600","Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kud keledai, bagal atau hinnie, segar, dingin atau beku.","Barang"
"coretax_020700","020700","Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku","Barang"
"coretax_020800","020800","Daging dan sisanya yang dapat dimakan dari binatang lainny segar, dingin atau beku","Barang"
"coretax_020900","020900","Lemak babi tanpa daging dan lemak unggas, tidak dicairkan atau diekstraksi dengan cara lain, segar, dingin, beku, dlasinkan, dalam air garam, dikeringkan atau diasapi","Barang"
"coretax_021000","021000","Daging dan sisanya yang dapat dimakan, diasinkan, dalam air garam, dikeringkan atau diasapi tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan","Barang"
"coretax_030000","030000","lkan dan krustase moluska serta invertebrata air lainnya","Barang"
"coretax_030100","030100","Ikan hidup","Barang"
"coretax_030200","030200","Ikan, segar atau dingin, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04","Barang"
"coretax_030300","030300","Ikan beku, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04","Barang"
"coretax_030400","030400","Fillet dan daging ikan lainnya (dicincang maupun tidak), segar, dlngln atau beku","Barang"
"coretax_030500","030500","lkan, dikeringkan, diasinkan atau dalam air garam lkan diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan","Barang"
"coretax_030600","030600","Krustase bercangkang maupun tidak, hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam krustasea diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan krustase bercangkang, dikukus atau direbus, dingin, beku., dilr:eringkan, diasinkan atau dalam air garam maupun tidak","Barang"
"coretax_030700","030700","Molusk bercangkang maupun tidak, hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam moluska diasapi, bercangkang maupun tidak, dimasak maupun tidak sebelum atau selama proses pengasapan","Barang"
"coretax_030800","030800","Invertebrata air selain krustasea dan molusk hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garam Invertebrata air selain krustasea dan moluska diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan","Barang"
"coretax_030900","030900","Tepung, tepung kasar dan pellet dari ikan atau krustase moluska atau invertebrata air lainny layak untuk dikonsumsi manusia","Barang"
"coretax_040000","040000","Produk susu telur unggas madu alam produk hewani yang dapat dimakan, tidak dirinci atau termasuk dalam pos lain","Barang"
"coretax_040100","040100","Susu dan kepala susu, tidak dipekatkan maupun tidak mengandung tambahan gula atau bahan pemanis lainnya","Barang"
"coretax_040200","040200","Susu dan kepala susu, dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya","Barang"
"coretax_040300","040300","Yoghurt susu menteg susu dan kepala susu dikentalkan, kefir dan susu dan krim difermentasi atau diasamkan lainny dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya atau diberi rasa atau mengandung tambahan buah-buahan, kacang-kacangan atau kakao maupun tidak","Barang"
"coretax_040400","040400","Whey, dipekatkan atau mengandung tambahan gula atau bahan pemanis lainnya maupun tidak produk terdiri dari susu alam sebagai unsur utam mengandung tambahan gul bahan pemanis lainnya maupun tidak, tidak dirinci atau termasuk dalam pos lainnya","Barang"
"coretax_040500","040500","Mentega dan lemak serta minyak lainnya yang diperoleh dari susu dairy spreads","Barang"
"coretax_040600","040600","Keju dan dadih susu","Barang"
"coretax_040700","040700","Telur unggas bercangkang, segar, diawetkan atau dimasak","Barang"
"coretax_040800","040800","Telur unggas, tanpa cangkang, dan kuning telur, segar, dikeringkan, dikukus atau direbus, dibentuk, beku atau diawetkan secara lain, mengandung tambahan gula atau bahan pemanis lainnya maupun tidak","Barang"
"coretax_040900","040900","Madu alam","Barang"
"coretax_041000","041000","Serangga dan produk lainnya yang dapat dimakan berasal dari hewan, tidak dirinci atau termasuk dalam pos lainnya","Barang"
"coretax_050000","050000","Produk hewani, tidak dirinci atau termasuk dalam pos lain","Barang"
"coretax_050100","050100","Rambut manusi tidak dikerjakan, dicuci atau digosok maupun tidak sisa rambut manusia.","Barang"
"coretax_050200","050200","Bulu dan bulu kasar dari babi, babi ternak atau babi hutan bulu berang-berang dan bulu binatang lainnya yang dapat dibuat sikat sisa dari bulu atau bulu kasar semacam itu.","Barang"
"coretax_050400","050400","Usus, kandung kemih dan lambung binatang (selain ikan), utuh dan potonganny segar, dingin, beku, diasinkan, dalam air garam, kering atau diasapi.","Barang"
"coretax_050500","050500","Kulit dan bagian lainnya dari unggas, masih berbulu atau berbulu halus, bulu unggas dan bagiannya (pinggirannya dipangkas maupun tidak) dan bulu halus, tidak dikerjakan lebih lanjut selain dibersihkan, disucihamakan atau dikerjakan untuk pengawetan bubuk dan sisa dari bulu atau bagiannya.","Barang"
"coretax_050600","050600","Tulang dan teras tanduk, tidak dikerjakan, dihilangkan lemakny dikerjakan secara sederhana (tetapi tidak dipotong menjadi berbentuk), dikerjakan dengan asam atau dihilangkan gelatinnya bubuk dan sisa dari produk tersebut.","Barang"
"coretax_050700","050700","Gading, tempurung kura-kur whalebone dan whalebone hair, tanduk, ranggah, kuku (binatang sejenis kuda atau sapi), kuku burung, cakar burung dan paruh burung, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dipotong menjadi berbentuk bubuk dan sisa dari produk tersebut.","Barang"
"coretax_050800","050800","Koral dan barang serupa itu, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dikerjakan lebih lanjut cangkang molusk krustasea atau echinodermata dan cuttle-bone, tidak dikerjakan atau dikerjakan secara sederhana tetapi tidak dipotong menjadi berbentuk, bubuk dan sisanya.","Barang"
"coretax_050900","050900","Ambar, kastor, jebat dan kesturi kantaridi empedu, kering maupun tidak kelenjar dan produk binatang lainnya yang digunakan dalam olahan produk farmasi, segar, dingin, beku atau diawetkan sementara secara lain","Barang"
