id,category,code,name
"coretax_uom_UM.0003","barang","UM.0003","Kilogram"
"coretax_uom_UM.0004","barang","UM.0004","Gram"
"coretax_uom_UM.0005","barang","UM.0005","Karat"
"coretax_uom_UM.0001","barang","UM.0001","Metrik Ton"
"coretax_uom_UM.0002","barang","UM.0002","Wet Ton"
"coretax_uom_UM.0006","barang","UM.0006","Kiloliter"
"coretax_uom_UM.0007","barang","UM.0007","Liter"
"coretax_uom_UM.0008","barang","UM.0008","Barrel"
"coretax_uom_UM.0009","barang","UM.0009","MMBTU"
"coretax_uom_UM.0010","barang","UM.0010","Ampere"
"coretax_uom_UM.0011","barang","UM.0011","Sentimeter Kubik"
"coretax_uom_UM.0012","barang","UM.0012","Meter Persegi"
"coretax_uom_UM.0013","barang","UM.0013","Meter"
"coretax_uom_UM.0014","barang","UM.0014","Inches"
"coretax_uom_UM.0015","barang","UM.0015","Sentimeter"
"coretax_uom_UM.0016","barang","UM.0016","Yard"
"coretax_uom_UM.0017","barang","UM.0017","Lusin"
"coretax_uom_UM.0018","barang","UM.0018","Unit"
"coretax_uom_UM.0019","barang","UM.0019","Set"
"coretax_uom_UM.0020","barang","UM.0020","Lembar"
"coretax_uom_UM.0021","barang","UM.0021","Piece"
"coretax_uom_UM.0022","barang","UM.0022","Boks"
"coretax_uom_UM.0023","jasa","UM.0023","Tahun"
"coretax_uom_UM.0024","jasa","UM.0024","Bulan"
"coretax_uom_UM.0025","jasa","UM.0025","Minggu"
"coretax_uom_UM.0026","jasa","UM.0026","Hari"
"coretax_uom_UM.0027","jasa","UM.0027","Jam"
"coretax_uom_UM.0028","jasa","UM.0028","Menit"
"coretax_uom_UM.0029","jasa","UM.0029","Persen"
"coretax_uom_UM.0030","jasa","UM.0030","Kegiatan"
"coretax_uom_UM.0031","jasa","UM.0031","Laporan"
"coretax_uom_UM.0032","jasa","UM.0032","Bahan"
"coretax_uom_UM.0033","jasa","UM.0033","Lainnya"
